Hannah Abbott
Ludo Bagman
Bathilda Bagshot
Katie Bell
Cuthbert Binns
Phineas Nigellus Black
Sirius Black
Amelia Bones
Susan Bones
Terry Boot
Lavender Brown
Millicent Bulstrode
Charity Burbage
Frank Bryce
Alecto Carrow
Amycus Carrow
Reginald Cattermole
Mary Cattermole
Cho Chang
Penelope Clearwater
Mrs. Cole
Michael Corner
Vincent Crabbe Sr.
Vincent Crabbe
Colin Creevey
Dennis Creevey
Dirk Cresswell
Bartemius Barty Crouch Sr.
Bartemius Barty Crouch Jr.
Roger Davies
Dawlish
Fleur Delacour
Gabrielle Delacour
Dedalus Diggle
Amos Diggory
Cedric Diggory
Elphias Doge
Antonin Dolohov
Aberforth Dumbledore
Albus Dumbledore
Dudley Dursley
Marjorie Marge Dursley
Petunia Dursley
Vernon Dursley
Marietta Edgecombe
Arabella Figg
Argus Filch
Justin Finch-Fletchley
Seamus Finnigan
Marcus Flint
Mundungus Fletcher
Filius Flitwick
Florean Fortescue
Cornelius Fudge
Marvolo Gaunt
Merope Gaunt
Morfin Gaunt
Anthony Goldstein
Goyle Sr
Gregory Goyle
Hermione Granger
Astoria Greengrass
Gregorovitch
Fenrir Greyback
Gellert Grindelwald
Wilhelmina Grubbly-Plank
Rubeus Hagrid
Madam Hooch
Mafalda Hopkirk
Angelina Johnson
Lee Jordan
Bertha Jorkins
Igor Karkaroff
Viktor Krum
Bellatrix Lestrange
Rabastan Lestrange
Rodolphus Lestrange
Gilderoy Lockhart
Alice Longbottom
Augusta Longbottom
Frank Longbottom
Neville Longbottom
Luna Lovegood
Xenophilius Lovegood
Remus Lupin
Theodore Remus Lupin
Walden Macnair
Draco Malfoy
Lucius Malfoy
Narcissa Malfoy
Scorpius Malfoy
Madam Malkin
Griselda Marchbanks
Olympe Maxime
Ernie Macmillan
Minerva McGonagall
Cormac McLaggen
Graham Montague
Alastor Mad-Eye Moody
Theodore Nott
Bob Ogden
Garrick Ollivander
Pansy Parkinson
Padma Patil
Parvati Patil
Peter Pettigrew
Antioch Peverell
Cadmus Peverell
Ignotus Peverell
Irma Pince
Sturgis Podmore
Poppy Pomfrey
Harry Potter
James Potter
Lily Potter
Quirinus Quirrell
Helena Ravenclaw Grey Lady
Tom Marvolo Riddle
Demelza Robins
Augustus Rookwood
Albert Runcorn
Newt Scamander
Rufus Scrimgeour
Kingsley Shacklebolt
Stan Shunpike
Aurora Sinistra
Rita Skeeter
Horace Slughorn
Hepzibah Smith
Zacharias Smith
Severus Snape
Alicia Spinnet
Pomona Sprout
Pius Thicknesse
Dean Thomas
Andromeda Tonks
Nymphadora Tonks
Ted Tonks
Travers
Sybill Trelawney
Wilky Twycross
Dolores Jane Umbridge
Emmeline Vance
Romilda Vane
Septima Vector
Lord Voldemort
Arthur Weasley
Bill Weasley
Charlie Weasley
Fred Weasley
George Weasley
Ginny Weasley
Hugo Weasley
Molly Weasley
Percy Weasley
Ron Weasley
Rose Weasley
Oliver Wood
Yaxley
Blaise Zabini
Aragog
Bane
Beedle the Bard
The Bloody Baron
Bogrod
Buckbeak
Sir Cadogan
Crookshanks
Dobby
Errol
Fang
The Fat Friar
The Fat Lady
Fawkes
Firenze
Fluffy
Grawp
Griphook
Hedwig
Hokey
Kreacher
Magorian
Moaning Myrtle
Great Aunt Muriel
Nagini
Nearly Headless Nick
Norbert Norberta
Mrs Norris
Peeves
Pigwidgeon Pig
Madam Rosmerta
Ronan
Scabbers
Scabior
Trevor
Winky
