
Graph          : HP_booksAll-statistics
Arestas        :   2724  , Vertices:   192   
[1.0, 'Alastor Mad-Eye Moody', 'Antonin Dolohov']
[1.0, 'Alastor Mad-Eye Moody', 'Aurora Sinistra']
[1.0, 'Alastor Mad-Eye Moody', 'Dobby']
[1.0, 'Alastor Mad-Eye Moody', 'Emmeline Vance']
[1.0, 'Alastor Mad-Eye Moody', 'Fat Lady']
[1.0, 'Alastor Mad-Eye Moody', 'Fawkes']
[1.0, 'Alastor Mad-Eye Moody', 'Madam Hooch']
[1.0, 'Alastor Mad-Eye Moody', 'Nearly Headless Nick']
[1.0, 'Alastor Mad-Eye Moody', 'Percy Weasley']
[1.0, 'Alastor Mad-Eye Moody', 'Rufus Scrimgeour']
[1.0, 'Alastor Mad-Eye Moody', 'Seamus Finnigan']
[1.0, 'Albus Dumbledore', 'Amelia Bones']
[1.0, 'Albus Dumbledore', 'Amos Diggory Mr']
[1.0, 'Albus Dumbledore', 'Crookshanks']
[1.0, 'Albus Dumbledore', 'Frank Longbottom Mr']
[1.0, 'Albus Dumbledore', 'Griphook']
[1.0, 'Albus Dumbledore', 'Hepzibah Smith']
[1.0, 'Albus Dumbledore', 'Lee Jordan']
[1.0, 'Albus Dumbledore', 'Magorian']
[1.0, 'Albus Dumbledore', 'Pigwidgeon Pig ']
[1.0, 'Albus Dumbledore', 'Stan Shunpike']
[1.0, 'Albus Dumbledore', 'Ted Tonks']
[1.0, 'Albus Dumbledore', 'Terry Boot']
[1.0, 'Albus Dumbledore', 'Vincent Crabbe']
[1.0, 'Alecto Carrow', 'Neville Longbottom']
[1.0, 'Alice Longbottom Mrs', 'Crouch Mr Sr']
[1.0, 'Alice Longbottom Mrs', 'Dolores Jane Umbridge']
[1.0, 'Alice Longbottom Mrs', 'Dumbledore Aberforth']
[1.0, 'Alicia Spinnet', 'Bill Weasley']
[1.0, 'Alicia Spinnet', 'Hermione Granger']
[1.0, 'Alicia Spinnet', 'Luna Lovegood']
[1.0, 'Alicia Spinnet', 'Vincent Crabbe']
[1.0, 'Amos Diggory Mr', 'Buckbeak']
[1.0, 'Amos Diggory Mr', 'Cho Chang']
[1.0, 'Amos Diggory Mr', 'George Weasley']
[1.0, 'Amos Diggory Mr', 'Sirius Black']
[1.0, 'Amycus Carrow', 'Helena Ravenclaw Grey Lady']
[1.0, 'Amycus Carrow', 'Lord Voldemort']
[1.0, 'Amycus Carrow', 'Ron Weasley']
[1.0, 'Andromeda Tonks', 'Nymphadora Tonks']
[1.0, 'Andromeda Tonks', 'Ted Tonks']
[1.0, 'Angelina Johnson', 'Argus Filch']
[1.0, 'Angelina Johnson', 'Cho Chang']
[1.0, 'Angelina Johnson', 'Colin Creevey']
[1.0, 'Angelina Johnson', 'Sybill Trelawney']
[1.0, 'Anthony Goldstein', 'Gregory Goyle']
[1.0, 'Anthony Goldstein', 'Harry Potter Mr']
[1.0, 'Anthony Goldstein', 'Padma Patil']
[1.0, 'Anthony Goldstein', 'Terry Boot']
[1.0, 'Antioch Peverell', 'Cadmus Peverell']
[1.0, 'Antonin Dolohov', 'Albus Dumbledore']
[1.0, 'Antonin Dolohov', 'Crouch Mr Sr']
[1.0, 'Antonin Dolohov', 'Dumbledore Aberforth']
[1.0, 'Antonin Dolohov', 'Fenrir Greyback']
[1.0, 'Antonin Dolohov', 'Filius Flitwick']
[1.0, 'Antonin Dolohov', 'Madam Hooch']
[1.0, 'Antonin Dolohov', 'Severus Snape']
[1.0, 'Antonin Dolohov', 'Walden Macnair']
[1.0, 'Arabella Figg', 'Hermione Granger']
[1.0, 'Arabella Figg', 'Lord Voldemort']
[1.0, 'Arabella Figg', 'Marjorie Marge Dursley']
[1.0, 'Aragog', 'Albus Dumbledore']
[1.0, 'Aragog', 'Lord Voldemort']
[1.0, 'Aragog', 'Moaning Myrtle']
[1.0, 'Aragog', 'Pomona Sprout']
[1.0, 'Argus Filch', 'Cadogan']
[1.0, 'Argus Filch', 'Cedric Diggory']
[1.0, 'Argus Filch', 'Colin Creevey']
[1.0, 'Argus Filch', 'Ginny Weasley']
[1.0, 'Argus Filch', 'Pansy Parkinson']
[1.0, 'Argus Filch', 'Rosmerta']
